episode,reward,length,success,collisions,battery,epsilon
62,-142.6999999999994,300,0,23,300.0,0.9407945259609451
63,-255.0999999999992,300,0,48,300.0,0.9398537314349842
64,-108.09999999999934,300,0,18,300.0,0.9389138777035492
65,-171.19999999999865,300,0,35,300.0,0.9379749638258457
66,-185.89999999999895,300,0,38,300.0,0.9370369888620198
67,-264.89999999999975,300,0,50,300.0,0.9360999518731578
68,-87.89999999999958,300,0,18,300.0,0.9351638519212846
69,-186.19999999999888,300,0,36,300.0,0.9342286880693633
70,-235.79999999999887,300,0,42,300.0,0.933294459381294
71,-181.5999999999989,300,0,33,300.0,0.9323611649219127
72,-235.49999999999872,300,0,44,300.0,0.9314288037569908
73,-186.19999999999888,300,0,36,300.0,0.9304973749532338
74,-151.89999999999867,300,0,29,300.0,0.9295668775782806
75,-127.39999999999952,300,0,24,300.0,0.9286373107007023
76,-161.99999999999937,300,0,29,300.0,0.9277086733900016
77,-161.99999999999883,300,0,29,300.0,0.9267809647166116
78,-170.89999999999924,300,0,37,300.0,0.925854183751895
79,-225.6999999999988,300,0,42,300.0,0.9249283295681431
80,-176.69999999999905,300,0,32,300.0,0.9240034012385749
81,-191.0999999999987,300,0,37,300.0,0.9230793978373364
82,-107.79999999999933,300,0,20,300.0,0.9221563184394991
83,-117.59999999999958,300,0,22,300.0,0.9212341621210596
84,-196.29999999999902,300,0,36,300.0,0.9203129279589385
85,-191.6999999999988,300,0,33,300.0,0.9193926150309796
86,-170.89999999999952,300,0,37,300.0,0.9184732224159486
87,-166.5999999999991,300,0,32,300.0,0.9175547491935327
88,-181.5999999999998,300,0,33,300.0,0.9166371944443392
89,-103.19999999999928,300,0,17,300.0,0.9157205572498949
90,-102.59999999999972,300,0,21,300.0,0.914804836692645
91,-191.0999999999988,300,0,37,300.0,0.9138900318559524
92,-97.69999999999956,300,0,20,300.0,0.9129761418240965
93,-78.10000000000005,300,0,16,300.0,0.9120631656822724
94,-254.79999999999876,300,0,50,300.0,0.9111511025165902
95,-127.69999999999888,300,0,22,300.0,0.9102399514140735
96,-93.09999999999928,300,0,17,300.0,0.9093297114626595
97,-102.8999999999997,300,0,19,300.0,0.9084203817511969
98,-142.09999999999926,300,0,27,300.0,0.9075119613694457
99,-83.29999999999939,300,0,15,300.0,0.9066044494080763
100,-63.700000000000216,300,0,11,300.0,0.9056978449586682
101,-117.89999999999918,300,0,20,300.0,0.9047921471137096
102,-102.89999999999893,300,0,19,300.0,0.9038873549665959
103,-151.8999999999988,300,0,29,300.0,0.9029834676116293
104,-78.09999999999991,300,0,16,300.0,0.9020804841440176
105,-78.69999999999928,300,0,12,300.0,0.9011784036598737
106,-210.99999999999906,300,0,39,300.0,0.9002772252562138
107,-196.299999999999,300,0,36,300.0,0.8993769480309576
108,-127.09999999999917,300,0,26,300.0,0.8984775710829266
109,-142.09999999999877,300,0,27,300.0,0.8975790935118436
110,-152.1999999999987,300,0,27,300.0,0.8966815144183318
111,-127.69999999999918,300,0,22,300.0,0.8957848329039134
112,-82.69999999999973,300,0,19,300.0,0.8948890480710096
113,-78.40000000000026,300,0,14,300.0,0.8939941590229386
114,-112.99999999999974,300,0,19,300.0,0.8931001648639156
115,-181.299999999999,300,0,35,300.0,0.8922070646990518
116,-142.09999999999937,300,0,27,300.0,0.8913148576343527
117,-68.30000000000021,300,0,14,300.0,0.8904235427767183
118,-186.19999999999922,300,0,36,300.0,0.8895331192339416
119,-117.59999999999901,300,0,22,300.0,0.8886435861147077
120,-112.69999999999936,300,0,21,300.0,0.887754942528593
121,-132.59999999999934,300,0,23,300.0,0.8868671875860644
122,-93.3999999999996,300,0,15,300.0,0.8859803203984784
123,-196.2999999999993,300,0,36,300.0,0.88509434007808
124,-186.79999999999922,300,0,32,300.0,0.8842092457380019
125,-44.10000000000018,300,0,7,300.0,0.8833250364922639
126,-156.79999999999933,300,0,30,300.0,0.8824417114557717
127,-34.30000000000023,300,0,5,300.0,0.8815592697443159
128,-107.49999999999976,300,0,22,300.0,0.8806777104745716
129,-156.49999999999955,300,0,32,300.0,0.8797970327640969
130,-73.50000000000037,300,0,13,300.0,0.8789172357313328
131,-206.099999999999,300,0,38,300.0,0.8780383184956015
132,-78.39999999999958,300,0,14,300.0,0.8771602801771059
133,-165.99999999999952,300,0,36,300.0,0.8762831198969288
134,-106.59999999999883,300,0,28,300.0,0.8754068367770318
135,-107.7999999999995,300,0,20,300.0,0.8745314299402548
136,-88.19999999999929,300,0,16,300.0,0.8736568985103146
137,-166.89999999999927,300,0,30,300.0,0.8727832416118043
138,-93.1000000000001,300,0,17,300.0,0.8719104583701925
139,-176.69999999999942,300,0,32,300.0,0.8710385479118223
140,-171.799999999999,300,0,31,300.0,0.8701675093639105
141,-93.09999999999967,300,0,17,300.0,0.8692973418545467
142,-151.29999999999933,300,0,33,300.0,0.8684280445126921
143,-78.39999999999995,300,0,14,300.0,0.8675596164681794
144,-181.5999999999988,300,0,33,300.0,0.8666920568517111
145,-103.19999999999986,300,0,17,300.0,0.8658253647948594
146,-87.89999999999992,300,0,18,300.0,0.8649595394300645
147,-78.4000000000002,300,0,14,300.0,0.8640945798906344
148,-112.69999999999911,300,0,21,300.0,0.8632304853107438
149,-102.8999999999995,300,0,19,300.0,0.862367254825433
150,-107.19999999999963,300,0,24,300.0,0.8615048875706075
151,-112.69999999999939,300,0,21,300.0,0.8606433826830369
152,-97.69999999999958,300,0,20,300.0,0.8597827393003539
153,-103.19999999999976,300,0,17,300.0,0.8589229565610536
154,-117.59999999999943,300,0,22,300.0,0.8580640336044925
155,-235.4999999999987,300,0,44,300.0,0.857205969570888
156,-215.59999999999926,300,0,42,300.0,0.8563487636013172
157,-176.0999999999994,300,0,36,300.0,0.8554924148377159
158,-185.89999999999944,300,0,38,300.0,0.8546369224228781
159,-156.49999999999866,300,0,32,300.0,0.8537822855004553
160,-176.69999999999968,300,0,32,300.0,0.8529285032149548
161,-121.89999999999976,300,0,27,300.0,0.8520755747117399
162,-107.4999999999996,300,0,22,300.0,0.8512234991370281
163,-132.2999999999993,300,0,25,300.0,0.8503722756378911
164,-127.3999999999993,300,0,24,300.0,0.8495219033622532
165,-112.0999999999994,300,0,25,300.0,0.8486723814588909
166,-156.49999999999935,300,0,32,300.0,0.847823709077432
167,-146.99999999999866,300,0,28,300.0,0.8469758853683546
168,-146.69999999999877,300,0,30,300.0,0.8461289094829862
169,-48.70000000000023,300,0,10,300.0,0.8452827805735033
170,-122.79999999999959,300,0,21,300.0,0.8444374977929298
171,-161.99999999999906,300,0,29,300.0,0.8435930602951368
172,-166.29999999999916,300,0,34,300.0,0.8427494672348417
173,-166.899999999999,300,0,30,300.0,0.8419067177676068
174,-68.29999999999991,300,0,14,300.0,0.8410648110498392
175,-88.20000000000003,300,0,16,300.0,0.8402237462387894
176,-131.99999999999903,300,0,27,300.0,0.8393835224925505
177,-181.2999999999996,300,0,35,300.0,0.838544138970058
178,-102.8999999999992,300,0,19,300.0,0.8377055948310879
179,-53.90000000000037,300,0,9,300.0,0.8368678892362568
180,-73.49999999999983,300,0,13,300.0,0.8360310213470206
181,-97.70000000000022,300,0,20,300.0,0.8351949903256736
182,-97.70000000000002,300,0,20,300.0,0.8343597953353479
183,-146.9999999999992,300,0,28,300.0,0.8335254355400126
184,-151.29999999999947,300,0,33,300.0,0.8326919101044725
185,-146.9999999999997,300,0,28,300.0,0.831859218194368
186,-166.89999999999947,300,0,30,300.0,0.8310273589761736
187,-78.69999999999989,300,0,12,300.0,0.8301963316171974
188,-83.30000000000027,300,0,15,300.0,0.8293661352855802
189,-141.49999999999946,300,0,31,300.0,0.8285367691502946
190,-87.59999999999977,300,0,20,300.0,0.8277082323811443
191,-112.09999999999957,300,0,25,300.0,0.8268805241487632
192,-131.9999999999996,300,0,27,300.0,0.8260536436246144
193,-122.49999999999895,300,0,23,300.0,0.8252275899809898
194,-83.29999999999988,300,0,15,300.0,0.8244023623910088
195,-156.79999999999905,300,0,30,300.0,0.8235779600286178
196,-63.40000000000023,300,0,13,300.0,0.8227543820685892
197,-127.39999999999895,300,0,24,300.0,0.8219316276865206
198,-132.2999999999996,300,0,25,300.0,0.8211096960588341
199,-68.60000000000002,300,0,12,300.0,0.8202885863627752
200,-117.29999999999859,300,0,24,300.0,0.8194682977764125
201,-87.89999999999986,300,0,18,300.0,0.818648829478636
202,-92.79999999999997,300,0,19,300.0,0.8178301806491574
203,-102.59999999999874,300,0,21,300.0,0.8170123504685082
204,-132.2999999999987,300,0,25,300.0,0.8161953381180397
205,-142.099999999999,300,0,27,300.0,0.8153791427799216
206,-161.69999999999894,300,0,31,300.0,0.8145637636371417
207,-146.6999999999998,300,0,30,300.0,0.8137491998735046
208,-39.20000000000014,300,0,6,300.0,0.812935450673631
209,-151.89999999999876,300,0,29,300.0,0.8121225152229574
210,-102.59999999999964,300,0,21,300.0,0.8113103927077344
211,-92.79999999999953,300,0,19,300.0,0.8104990823150267
212,-244.69999999999933,300,0,50,300.0,0.8096885832327116
213,-180.99999999999883,300,0,37,300.0,0.8088788946494789
214,-157.09999999999928,300,0,28,300.0,0.8080700157548294
215,-87.59999999999958,300,0,20,300.0,0.8072619457390746
216,-146.6999999999991,300,0,30,300.0,0.8064546837933355
217,-93.09999999999991,300,0,17,300.0,0.8056482291095421
218,-87.8999999999997,300,0,18,300.0,0.8048425808804326
219,-146.99999999999943,300,0,28,300.0,0.8040377382995522
220,-58.50000000000024,300,0,12,300.0,0.8032337005612527
221,-146.69999999999956,300,0,30,300.0,0.8024304668606914
222,-87.29999999999954,300,0,22,300.0,0.8016280363938307
223,-132.29999999999984,300,0,25,300.0,0.8008264083574369
224,-97.99999999999946,300,0,18,300.0,0.8000255819490795
225,-97.69999999999882,300,0,20,300.0,0.7992255563671304
226,-83.29999999999971,300,0,15,300.0,0.7984263308107633
227,-157.09999999999886,300,0,28,300.0,0.7976279044799526
228,-166.29999999999947,300,0,34,300.0,0.7968302765754727
229,-137.1999999999987,300,0,26,300.0,0.7960334462988972
230,-73.20000000000007,300,0,15,300.0,0.7952374128525983
231,-141.79999999999905,300,0,29,300.0,0.7944421754397457
232,-117.29999999999941,300,0,24,300.0,0.7936477332643059
233,-63.40000000000023,300,0,13,300.0,0.7928540855310416
234,-73.49999999999991,300,0,13,300.0,0.7920612314455105
235,-102.59999999999914,300,0,21,300.0,0.7912691702140651
236,-72.89999999999988,300,0,17,300.0,0.790477901043851
237,-215.2999999999998,300,0,44,300.0,0.7896874231428072
238,-63.70000000000041,300,0,11,300.0,0.7888977357196644
239,-73.20000000000013,300,0,15,300.0,0.7881088379839447
240,-165.69999999999953,300,0,38,300.0,0.7873207291459607
241,-171.19999999999968,300,0,35,300.0,0.7865334084168147
242,-131.9999999999994,300,0,27,300.0,0.7857468750083979
243,-151.89999999999955,300,0,29,300.0,0.7849611281333895
244,-107.4999999999992,300,0,22,300.0,0.784176167005256
245,-171.19999999999882,300,0,35,300.0,0.7833919908382508
246,-106.89999999999961,300,0,26,300.0,0.7826085988474126
247,-92.19999999999955,300,0,23,300.0,0.7818259902485653
248,-98.29999999999922,300,0,16,300.0,0.7810441642583167
249,-92.79999999999976,300,0,19,300.0,0.7802631200940584
250,-72.90000000000009,300,0,17,300.0,0.7794828569739644
251,-87.59999999999974,300,0,20,300.0,0.7787033741169904
252,-48.10000000000019,300,0,14,300.0,0.7779246707428734
253,-87.89999999999974,300,0,18,300.0,0.7771467460721305
254,-82.69999999999997,300,0,19,300.0,0.7763695993260584
255,-77.49999999999966,300,0,20,300.0,0.7755932297267324
256,-68.60000000000008,300,0,12,300.0,0.7748176364970056
257,-78.40000000000016,300,0,14,300.0,0.7740428188605086
258,-142.09999999999874,300,0,27,300.0,0.7732687760416481
259,-180.9999999999987,300,0,37,300.0,0.7724955072656065
260,-122.19999999999919,300,0,25,300.0,0.7717230117583408
261,-53.600000000000314,300,0,11,300.0,0.7709512887465825
262,-102.29999999999927,300,0,23,300.0,0.7701803374578359
263,-53.60000000000017,300,0,11,300.0,0.7694101571203781
264,-141.79999999999967,300,0,29,300.0,0.7686407469632577
265,-88.49999999999966,300,0,14,300.0,0.7678721062162944
266,-102.59999999999988,300,0,21,300.0,0.7671042341100781
267,-112.09999999999961,300,0,25,300.0,0.766337129875968
268,-97.99999999999942,300,0,18,300.0,0.7655707927460921
269,-92.49999999999957,300,0,21,300.0,0.764805221953346
270,-78.09999999999995,300,0,16,300.0,0.7640404167313927
271,-78.10000000000034,300,0,16,300.0,0.7632763763146613
272,-122.1999999999989,300,0,25,300.0,0.7625130999383466
273,-78.10000000000004,300,0,16,300.0,0.7617505868384082
274,-117.29999999999956,300,0,24,300.0,0.7609888362515699
275,-73.19999999999989,300,0,15,300.0,0.7602278474153183
276,-102.59999999999906,300,0,21,300.0,0.759467619567903
277,-48.10000000000017,300,0,14,300.0,0.7587081519483351
278,-73.20000000000005,300,0,15,300.0,0.7579494437963867
279,-107.49999999999908,300,0,22,300.0,0.7571914943525904
280,-102.59999999999935,300,0,21,300.0,0.7564343028582378
281,-117.30000000000013,300,0,24,300.0,0.7556778685553796
282,-161.3999999999998,300,0,33,300.0,0.7549221906868242
283,-127.39999999999972,300,0,24,300.0,0.7541672684961374
284,-136.8999999999994,300,0,28,300.0,0.7534131012276413
285,-82.70000000000024,300,0,19,300.0,0.7526596881264136
286,-83.30000000000001,300,0,15,300.0,0.7519070284382872
287,-151.599999999999,300,0,31,300.0,0.7511551214098489
288,-29.400000000000073,300,0,4,300.0,0.750403966288439
289,-112.39999999999958,300,0,23,300.0,0.7496535623221505
290,-63.10000000000021,300,0,15,300.0,0.7489039087598284
291,-131.6999999999992,300,0,29,300.0,0.7481550048510686
292,-126.79999999999943,300,0,28,300.0,0.7474068498462175
293,-24.19999999999998,300,0,5,300.0,0.7466594429963713
294,-78.70000000000016,300,0,12,300.0,0.745912783553375
295,-186.19999999999916,300,0,36,300.0,0.7451668707698216
296,-161.39999999999952,300,0,33,300.0,0.7444217038990517
297,-82.9999999999998,300,0,17,300.0,0.7436772821951526
298,-121.89999999999944,300,0,27,300.0,0.7429336049129575
299,-87.89999999999935,300,0,18,300.0,0.7421906713080445
300,-68.30000000000001,300,0,14,300.0,0.7414484806367364
301,-127.09999999999988,300,0,26,300.0,0.7407070321560997
302,-82.69999999999966,300,0,19,300.0,0.7399663251239436
303,-63.10000000000039,300,0,15,300.0,0.7392263587988196
304,-78.09999999999984,300,0,16,300.0,0.7384871324400207
305,-78.09999999999981,300,0,16,300.0,0.7377486453075807
306,-92.79999999999944,300,0,19,300.0,0.737010896662273
307,-97.39999999999958,300,0,22,300.0,0.7362738857656108
308,-132.29999999999916,300,0,25,300.0,0.7355376118798452
309,-39.20000000000022,300,0,6,300.0,0.7348020742679654
310,-107.49999999999955,300,0,22,300.0,0.7340672721936974
311,-210.39999999999944,300,0,43,300.0,0.7333332049215037
312,-127.39999999999952,300,0,24,300.0,0.7325998717165821
313,-92.79999999999924,300,0,19,300.0,0.7318672718448656
314,-29.10000000000007,300,0,6,300.0,0.7311354045730207
315,-38.60000000000013,300,0,10,300.0,0.7304042691684477
316,-200.59999999999968,300,0,41,300.0,0.7296738648992792
317,-72.89999999999989,300,0,17,300.0,0.7289441910343799
318,-63.4000000000002,300,0,13,300.0,0.7282152468433455
319,-63.40000000000027,300,0,13,300.0,0.7274870315965022
320,-126.79999999999987,300,0,28,300.0,0.7267595445649057
321,-88.1999999999998,300,0,16,300.0,0.7260327850203407
322,-68.30000000000022,300,0,14,300.0,0.7253067522353204
323,-107.49999999999977,300,0,22,300.0,0.724581445483085
324,-53.60000000000015,300,0,11,300.0,0.723856864037602
325,-43.800000000000374,300,0,9,300.0,0.7231330071735643
326,-63.400000000000276,300,0,13,300.0,0.7224098741663908
327,-48.70000000000014,300,0,10,300.0,0.7216874642922244
328,-43.80000000000027,300,0,9,300.0,0.7209657768279322
329,-58.20000000000028,300,0,14,300.0,0.7202448110511043
330,-63.400000000000006,300,0,13,300.0,0.7195245662400531
331,-78.09999999999975,300,0,16,300.0,0.7188050416738131
332,-116.99999999999926,300,0,26,300.0,0.7180862366321393
333,-48.400000000000055,300,0,12,300.0,0.7173681503955072
334,-73.19999999999965,300,0,15,300.0,0.7166507822451117
335,-131.9999999999995,300,0,27,300.0,0.7159341314628666
336,-97.69999999999952,300,0,20,300.0,0.7152181973314037
337,-150.9999999999993,300,0,35,300.0,0.7145029791340722
338,-146.70000000000002,300,0,30,300.0,0.7137884761549381
339,-77.80000000000014,300,0,18,300.0,0.7130746876787832
340,-107.4999999999997,300,0,22,300.0,0.7123616129911045
341,-78.09999999999988,300,0,16,300.0,0.7116492513781133
342,-102.59999999999934,300,0,21,300.0,0.7109376021267352
343,-112.0999999999997,300,0,25,300.0,0.7102266645246085
344,-93.09999999999994,300,0,17,300.0,0.7095164378600839
345,-92.79999999999987,300,0,19,300.0,0.7088069214222238
346,-87.89999999999965,300,0,18,300.0,0.7080981145008015
347,-68.59999999999995,300,0,12,300.0,0.7073900163863007
348,-185.899999999999,300,0,38,300.0,0.7066826263699144
349,-127.39999999999992,300,0,24,300.0,0.7059759437435444
350,-63.4000000000004,300,0,13,300.0,0.7052699677998009
351,-49.00000000000039,300,0,8,300.0,0.704564697832001
352,-92.50000000000014,300,0,21,300.0,0.7038601331341691
353,-73.19999999999999,300,0,15,300.0,0.7031562730010349
354,-82.69999999999942,300,0,19,300.0,0.7024531167280339
355,-116.99999999999937,300,0,26,300.0,0.7017506636113059
356,-63.099999999999895,300,0,15,300.0,0.7010489129476946
357,-53.300000000000125,300,0,13,300.0,0.7003478640347469
358,-72.89999999999972,300,0,17,300.0,0.6996475161707122
359,-58.50000000000015,300,0,12,300.0,0.6989478686545415
360,-131.99999999999972,300,0,27,300.0,0.698248920785887
361,-53.30000000000018,300,0,13,300.0,0.6975506718651011
362,-67.70000000000007,300,0,18,300.0,0.6968531211932361
363,-63.100000000000236,300,0,15,300.0,0.6961562680720428
364,-82.99999999999999,300,0,17,300.0,0.6954601118039707
365,-43.20000000000007,300,0,13,300.0,0.6947646516921667
366,-112.0999999999996,300,0,25,300.0,0.6940698870404746
367,-59.10000000000033,300,0,8,300.0,0.6933758171534341
368,-112.39999999999934,300,0,23,300.0,0.6926824413362807
369,-97.09999999999992,300,0,24,300.0,0.6919897588949444
370,-77.7999999999999,300,0,18,300.0,0.6912977691360495
371,-136.5999999999996,300,0,30,300.0,0.6906064713669134
372,-53.90000000000005,300,0,9,300.0,0.6899158648955466
373,-29.400000000000077,300,0,4,300.0,0.689225949030651
374,-106.89999999999938,300,0,26,300.0,0.6885367230816204
375,-205.49999999999878,300,0,42,300.0,0.6878481863585387
376,-78.10000000000002,300,0,16,300.0,0.6871603381721801
377,-62.80000000000004,300,0,17,300.0,0.686473177834008
378,-53.00000000000011,300,0,15,300.0,0.685786704656174
379,-77.80000000000013,300,0,18,300.0,0.6851009179515178
380,-116.99999999999989,300,0,26,300.0,0.6844158170335664
381,-68.0,300,0,16,300.0,0.6837314012165328
382,-97.7,300,0,20,300.0,0.6830476698153162
383,-82.69999999999986,300,0,19,300.0,0.6823646221455009
384,-73.19999999999958,300,0,15,300.0,0.6816822575233553
385,-48.100000000000186,300,0,14,300.0,0.6810005752658319
386,-73.1999999999998,300,0,15,300.0,0.680319574690566
387,-106.89999999999938,300,0,26,300.0,0.6796392551158754
388,-78.3999999999999,300,0,14,300.0,0.6789596158607596
389,-38.60000000000001,300,0,10,300.0,0.6782806562448989
390,-156.19999999999965,300,0,34,300.0,0.677602375588654
391,-82.69999999999962,300,0,19,300.0,0.6769247732130653
392,-38.30000000000031,300,0,12,300.0,0.6762478484398523
393,-136.59999999999968,300,0,30,300.0,0.6755716005914124
394,-68.30000000000001,300,0,14,300.0,0.674896028990821
395,-72.90000000000009,300,0,17,300.0,0.6742211329618302
396,-82.39999999999958,300,0,21,300.0,0.6735469118288684
397,-102.29999999999947,300,0,23,300.0,0.6728733649170395
398,-33.70000000000014,300,0,9,300.0,0.6722004915521225
399,-33.400000000000034,300,0,11,300.0,0.6715282910605703
400,-72.89999999999995,300,0,17,300.0,0.6708567627695098
401,-63.10000000000001,300,0,15,300.0,0.6701859060067403
402,-48.1000000000002,300,0,14,300.0,0.6695157201007336
403,-102.30000000000014,300,0,23,300.0,0.6688462043806328
404,-77.79999999999991,300,0,18,300.0,0.6681773581762521
405,-4.0000000000002,300,0,5,300.0,0.6675091808180759
406,-131.6999999999998,300,0,29,300.0,0.6668416716372578
407,-135.99999999999977,300,0,34,300.0,0.6661748299656206
408,-102.29999999999967,300,0,23,300.0,0.6655086551356549
409,-57.90000000000024,300,0,16,300.0,0.6648431464805192
410,-43.200000000000166,300,0,13,300.0,0.6641783033340387
411,-68.29999999999988,300,0,14,300.0,0.6635141250307047
412,-97.69999999999973,300,0,20,300.0,0.662850610905674
413,-57.900000000000055,300,0,16,300.0,0.6621877602947683
414,-131.40000000000003,300,0,31,300.0,0.6615255725344735
415,-68.30000000000015,300,0,14,300.0,0.660864046961939
416,-77.50000000000003,300,0,20,300.0,0.660203182914977
417,-49.00000000000013,300,0,8,300.0,0.6595429797320621
418,-131.69999999999985,300,0,29,300.0,0.6588834367523301
419,-111.79999999999964,300,0,27,300.0,0.6582245533155777
420,-91.90000000000023,300,0,25,300.0,0.6575663287622622
421,-28.500000000000064,300,0,10,300.0,0.6569087624334999
422,-57.60000000000026,300,0,18,300.0,0.6562518536710664
423,-38.300000000000104,300,0,12,300.0,0.6555956018173954
424,-82.69999999999996,300,0,19,300.0,0.654940006215578
425,-92.79999999999978,300,0,19,300.0,0.6542850662093624
426,-67.70000000000019,300,0,18,300.0,0.6536307811431531
427,-53.60000000000029,300,0,11,300.0,0.65297715036201
428,-68.00000000000001,300,0,16,300.0,0.6523241732116479
429,-62.80000000000013,300,0,17,300.0,0.6516718490384363
430,-77.4999999999994,300,0,20,300.0,0.6510201771893979
431,-97.39999999999947,300,0,22,300.0,0.6503691570122084
432,-62.80000000000035,300,0,17,300.0,0.6497187878551962
433,-82.39999999999942,300,0,21,300.0,0.649069069067341
434,-68.00000000000023,300,0,16,300.0,0.6484199999982736
435,-33.100000000000236,300,0,13,300.0,0.6477715799982753
436,-3.799999999999958,206,1,11,206.0,0.647123808418277
437,-111.79999999999919,300,0,27,300.0,0.6464766846098587
438,-62.500000000000064,300,0,19,300.0,0.6458302079252489
439,-53.600000000000115,300,0,11,300.0,0.6451843777173236
440,-53.00000000000023,300,0,15,300.0,0.6445391933396063
441,-77.49999999999993,300,0,20,300.0,0.6438946541462667
442,-126.79999999999981,300,0,28,300.0,0.6432507594921204
443,-83.30000000000027,300,0,15,300.0,0.6426075087326283
444,-150.99999999999935,300,0,35,300.0,0.6419649012238956
445,-28.500000000000156,300,0,10,300.0,0.6413229363226717
446,-67.99999999999996,300,0,16,300.0,0.640681613386349
447,-68.0000000000002,300,0,16,300.0,0.6400409317729626
448,-63.10000000000036,300,0,15,300.0,0.6394008908411897
449,-4.300000000000043,300,0,3,300.0,0.6387614899503485
450,-27.00000000000027,291,1,14,291.0,0.6381227284603982
451,-92.7999999999996,300,0,19,300.0,0.6374846057319378
452,-86.99999999999983,300,0,24,300.0,0.6368471211262058
453,-97.09999999999965,300,0,24,300.0,0.6362102740050796
454,-63.10000000000028,300,0,15,300.0,0.6355740637310745
455,-126.49999999999945,300,0,30,300.0,0.6349384896673435
456,-106.90000000000003,300,0,26,300.0,0.6343035511776761
457,-97.09999999999977,300,0,24,300.0,0.6336692476264985
458,-62.80000000000015,300,0,17,300.0,0.6330355783788719
459,-33.100000000000094,300,0,13,300.0,0.632402542800493
460,-87.59999999999962,300,0,20,300.0,0.6317701402576925
461,-67.69999999999982,300,0,18,300.0,0.6311383701174348
462,-38.60000000000006,300,0,10,300.0,0.6305072317473174
463,-33.10000000000006,300,0,13,300.0,0.6298767245155701
464,-92.49999999999987,300,0,21,300.0,0.6292468477910546
465,-4.299999999999963,300,0,3,300.0,0.6286176009432635
466,-111.79999999999964,300,0,27,300.0,0.6279889833423202
467,-77.50000000000004,300,0,20,300.0,0.6273609943589779
